"Country","Year","Existence of road safety audit for all new roads","Existence of road safety audit for existing roads"
"Switzerland"," 2013","Yes","Yes"
"Tajikistan"," 2013","Yes","Yes"
"Thailand"," 2013","No","No"
"Republic of North Macedonia"," 2013","Yes","Yes"
"Timor-Leste"," 2013","Yes","Yes"
"Togo"," 2013","No","No"
"Tonga"," 2013","Yes","Yes"
"Trinidad and Tobago"," 2013","Yes","No"
"Tunisia"," 2013","No","No"
"Turkey"," 2013","Yes","Yes"
"Turkmenistan"," 2013","Yes","Yes"
"Uganda"," 2013","Yes","Yes"
"United Arab Emirates"," 2013","Yes","Yes"
"United Kingdom of Great Britain and Northern Ireland"," 2013","Yes","Yes"
"United Republic of Tanzania"," 2013","Yes","Yes"
"United States of America"," 2013","No","No"
"Uruguay"," 2013","Yes","Yes"
"Uzbekistan"," 2013","Yes","Yes"
"Vanuatu"," 2013","Yes","Yes"
"Viet Nam"," 2013","Yes","Yes"
"Yemen"," 2013","Yes","Yes"
"Zambia"," 2013","Yes","Yes"
"Zimbabwe"," 2013","Yes","No"
