"","","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards"
"Country","Year"," Seat-belts"," Seat-belt anchorages"," Frontal impact"," Side impact"," Electronic stability control"," Pedestrian protection"," Child seats"
"Malta"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Marshall Islands"," 2013","No","No","No","No","No","No","No"
"Mauritania"," 2013","No","No","No","No","No","No","No"
"Mauritius"," 2013","No","No","No","No","No","No","No"
"Mexico"," 2013","Yes","No","No","No","No","No","No"
"Micronesia (Federated States of)"," 2013","No","No","No","No","No","No","No"
"Monaco"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Mongolia"," 2013","No","No","No","No","No","No","No"
"Montenegro"," 2013","No","No","No","No","No","No","No"
"Morocco"," 2013","No","No","No","No","No","No","No"
"Mozambique"," 2013","No","No","No","No","No","No","No"
"Myanmar"," 2013","No","No","No","No","No","No","No"
"Namibia"," 2013","No","No","No","No","No","No","No"
"Nepal"," 2013","No","No","No","No","No","No","No"
"Netherlands"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"New Zealand"," 2013","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Nicaragua"," 2013","No","No","No","No","No","No","No"
"Niger"," 2013","No","No","No","No","No","No","No"
"Nigeria"," 2013","No","No","No","No","No","No","No"
"Norway"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Oman"," 2013","No","No","No","No","No","No","No"
"Pakistan"," 2013","No","No","No","No","No","No","No"
"Palau"," 2013","No","No","No","No","No","No","No"
"Panama"," 2013","No","No","No","No","No","No","No"
"Papua New Guinea"," 2013","No","No","No","No","No","No","No"
"Paraguay"," 2013","No","No","No","No","No","No","No"
"Peru"," 2013","No","No","No","No","No","No","No"
"Philippines"," 2013","No","No","No","No","No","No","No"
"Poland"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Portugal"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Qatar"," 2013","No","No","No","No","No","No","No"
"Republic of Korea"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Republic of Moldova"," 2013","No","No","No","No","No","No","No"
"Romania"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Russian Federation"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
